status_id,status_created_at,annotation1,annotation2
1.23697711596436E+018,Mon Mar 09 11:28:21 +0000 2020,ambiguous or hard to classify,ambiguous or hard to classify
1.23697721377553E+018,Mon Mar 09 11:28:44 +0000 2020,calling out or correction,
1.23697780578454E+018,Mon Mar 09 11:31:05 +0000 2020,conspiracy,conspiracy
1.23697791336866E+018,Mon Mar 09 11:31:31 +0000 2020,calling out or correction,calling out or correction
1.2369797148264E+018,Mon Mar 09 11:38:40 +0000 2020,calling out or correction,
1.23698022900603E+018,Mon Mar 09 11:40:43 +0000 2020,sarcasm or satire,sarcasm or satire
1.23698039859856E+018,Mon Mar 09 11:41:23 +0000 2020,calling out or correction,
1.23698100322411E+018,Mon Mar 09 11:43:47 +0000 2020,news,ambiguous or hard to classify
1.23698126063716E+018,Mon Mar 09 11:44:49 +0000 2020,false fact or prevention,sarcasm or satire
1.23698159032615E+018,Mon Mar 09 11:46:07 +0000 2020,politics,politics
1.23698272551449E+018,Mon Mar 09 11:50:38 +0000 2020,ambiguous or hard to classify,false fact or prevention
1.23698300884816E+018,Mon Mar 09 11:51:45 +0000 2020,irrelevant,
1.23698314450033E+018,Mon Mar 09 11:52:18 +0000 2020,irrelevant,irrelevant
1.23698317798354E+018,Mon Mar 09 11:52:26 +0000 2020,sarcasm or satire,sarcasm or satire
1.23698321534633E+018,Mon Mar 09 11:52:35 +0000 2020,calling out or correction,calling out or correction
1.23698364977971E+018,Mon Mar 09 11:54:18 +0000 2020,ambiguous or hard to classify,
1.23698367064647E+018,Mon Mar 09 11:54:23 +0000 2020,calling out or correction,
1.23698403264428E+018,Mon Mar 09 11:55:50 +0000 2020,irrelevant,
1.23698445211661E+018,Mon Mar 09 11:57:30 +0000 2020,calling out or correction,
1.23698466399186E+018,Mon Mar 09 11:58:20 +0000 2020,sarcasm or satire,sarcasm or satire
1.23698474959337E+018,Mon Mar 09 11:58:41 +0000 2020,conspiracy,conspiracy
1.23698481617376E+018,Mon Mar 09 11:58:56 +0000 2020,sarcasm or satire,sarcasm or satire
1.23698488581178E+018,Mon Mar 09 11:59:13 +0000 2020,sarcasm or satire,
1.23698507804512E+018,Mon Mar 09 11:59:59 +0000 2020,calling out or correction,
1.23698511797915E+018,Mon Mar 09 12:00:08 +0000 2020,politics,false fact or prevention
1.23698561904742E+018,Mon Mar 09 12:02:08 +0000 2020,calling out or correction,calling out or correction
1.236985708579E+018,Mon Mar 09 12:02:29 +0000 2020,ambiguous or hard to classify,
1.2369859008418E+018,Mon Mar 09 12:03:15 +0000 2020,true prevention,irrelevant
1.23698740922247E+018,Mon Mar 09 12:09:15 +0000 2020,ambiguous or hard to classify,ambiguous or hard to classify
1.23698770818395E+018,Mon Mar 09 12:10:26 +0000 2020,news,
1.23698772876963E+018,Mon Mar 09 12:10:31 +0000 2020,irrelevant,irrelevant
1.23698827162594E+018,Mon Mar 09 12:12:40 +0000 2020,calling out or correction,
1.23698830914825E+018,Mon Mar 09 12:12:49 +0000 2020,news,
1.23698869368182E+018,Mon Mar 09 12:14:21 +0000 2020,sarcasm or satire,sarcasm or satire
1.23698894690055E+018,Mon Mar 09 12:15:21 +0000 2020,false fact or prevention,false fact or prevention
1.23698914822297E+018,Mon Mar 09 12:16:09 +0000 2020,true public health response,true public health response
1.23698931620892E+018,Mon Mar 09 12:16:49 +0000 2020,true public health response,
1.2369893679164E+018,Mon Mar 09 12:17:02 +0000 2020,calling out or correction,calling out or correction
1.23698950397537E+018,Mon Mar 09 12:17:34 +0000 2020,false fact or prevention,false fact or prevention
1.23699014636227E+018,Mon Mar 09 12:20:07 +0000 2020,irrelevant,irrelevant
1.23699075758568E+018,Mon Mar 09 12:22:33 +0000 2020,irrelevant,
1.23699106084638E+018,Mon Mar 09 12:23:45 +0000 2020,true prevention,true prevention
1.23699109487913E+018,Mon Mar 09 12:23:53 +0000 2020,news,
1.23699135006897E+018,Mon Mar 09 12:24:54 +0000 2020,calling out or correction,calling out or correction
1.2369913732466E+018,Mon Mar 09 12:25:00 +0000 2020,true public health response,
1.236991557993E+018,Mon Mar 09 12:25:44 +0000 2020,news,false public health response
1.23699166403759E+018,Mon Mar 09 12:26:09 +0000 2020,politics,
1.2369922787004E+018,Mon Mar 09 12:28:36 +0000 2020,panic buying,
1.23699252452021E+018,Mon Mar 09 12:29:34 +0000 2020,calling out or correction,calling out or correction
1.2369925872041E+018,Mon Mar 09 12:29:49 +0000 2020,sarcasm or satire,sarcasm or satire
1.23699341007196E+018,Mon Mar 09 12:33:05 +0000 2020,irrelevant,
1.23699364703756E+018,Mon Mar 09 12:34:02 +0000 2020,panic buying,
1.23699364930248E+018,Mon Mar 09 12:34:02 +0000 2020,calling out or correction,
1.23699374994046E+018,Mon Mar 09 12:34:26 +0000 2020,panic buying,
1.23699427953441E+018,Mon Mar 09 12:36:33 +0000 2020,false fact or prevention,calling out or correction
1.23699441105944E+018,Mon Mar 09 12:37:04 +0000 2020,news,
1.23699539077755E+018,Mon Mar 09 12:40:58 +0000 2020,sarcasm or satire,sarcasm or satire
1.23699571731665E+018,Mon Mar 09 12:42:15 +0000 2020,politics,
1.23699592238864E+018,Mon Mar 09 12:43:04 +0000 2020,calling out or correction,calling out or correction
1.23699606995702E+018,Mon Mar 09 12:43:40 +0000 2020,sarcasm or satire,sarcasm or satire
1.23699612644591E+018,Mon Mar 09 12:43:53 +0000 2020,false fact or prevention,false fact or prevention
1.23699622473939E+018,Mon Mar 09 12:44:16 +0000 2020,calling out or correction,
1.23699646931766E+018,Mon Mar 09 12:45:15 +0000 2020,calling out or correction,
1.23699651734658E+018,Mon Mar 09 12:45:26 +0000 2020,calling out or correction,calling out or correction
1.23699655715898E+018,Mon Mar 09 12:45:36 +0000 2020,false fact or prevention,sarcasm or satire
1.23699688926814E+018,Mon Mar 09 12:46:55 +0000 2020,calling out or correction,
1.23699707704715E+018,Mon Mar 09 12:47:40 +0000 2020,news,calling out or correction
1.23699749595736E+018,Mon Mar 09 12:49:19 +0000 2020,panic buying,
1.23699758323671E+018,Mon Mar 09 12:49:40 +0000 2020,calling out or correction,calling out or correction
1.23699759977488E+018,Mon Mar 09 12:49:44 +0000 2020,false fact or prevention,commercial activity or promotion
1.23699773835447E+018,Mon Mar 09 12:50:17 +0000 2020,politics,politics
1.2369978080682E+018,Mon Mar 09 12:50:34 +0000 2020,calling out or correction,
1.23699802002316E+018,Mon Mar 09 12:51:24 +0000 2020,conspiracy,conspiracy
1.23699827137935E+018,Mon Mar 09 12:52:24 +0000 2020,news,
1.23699833979672E+018,Mon Mar 09 12:52:41 +0000 2020,calling out or correction,
1.23699837182444E+018,Mon Mar 09 12:52:48 +0000 2020,calling out or correction,sarcasm or satire
1.23699844129484E+018,Mon Mar 09 12:53:05 +0000 2020,ambiguous or hard to classify,ambiguous or hard to classify
1.23699869612389E+018,Mon Mar 09 12:54:06 +0000 2020,false fact or prevention,false fact or prevention
1.23699911161165E+018,Mon Mar 09 12:55:45 +0000 2020,sarcasm or satire,sarcasm or satire
1.23699920035043E+018,Mon Mar 09 12:56:06 +0000 2020,conspiracy,
1.23699938539908E+018,Mon Mar 09 12:56:50 +0000 2020,calling out or correction,
1.23699954099517E+018,Mon Mar 09 12:57:27 +0000 2020,conspiracy,conspiracy
1.23699966179117E+018,Mon Mar 09 12:57:56 +0000 2020,ambiguous or hard to classify,ambiguous or hard to classify
1.2369997292314E+018,Mon Mar 09 12:58:12 +0000 2020,sarcasm or satire,
1.23700009944578E+018,Mon Mar 09 12:59:40 +0000 2020,sarcasm or satire,sarcasm or satire
1.23700041549503E+018,Mon Mar 09 13:00:56 +0000 2020,irrelevant,
1.23700065151265E+018,Mon Mar 09 13:01:52 +0000 2020,conspiracy,conspiracy
1.23700071115985E+018,Mon Mar 09 13:02:06 +0000 2020,calling out or correction,
1.23700074611506E+018,Mon Mar 09 13:02:14 +0000 2020,irrelevant,
1.23700076328666E+018,Mon Mar 09 13:02:18 +0000 2020,panic buying,
1.2370015578556E+018,Mon Mar 09 13:05:28 +0000 2020,panic buying,
1.23700204786772E+018,Mon Mar 09 13:07:25 +0000 2020,calling out or correction,
1.23700210095506E+018,Mon Mar 09 13:07:37 +0000 2020,calling out or correction,
1.23700254692707E+018,Mon Mar 09 13:09:24 +0000 2020,irrelevant,irrelevant
1.23700255607067E+018,Mon Mar 09 13:09:26 +0000 2020,calling out or correction,calling out or correction
1.23700260846165E+018,Mon Mar 09 13:09:38 +0000 2020,calling out or correction,calling out or correction
1.2370026468647E+018,Mon Mar 09 13:09:48 +0000 2020,irrelevant,
1.2370028670909E+018,Mon Mar 09 13:10:40 +0000 2020,sarcasm or satire,sarcasm or satire
1.23700298730383E+018,Mon Mar 09 13:11:09 +0000 2020,conspiracy,conspiracy
1.23700317066181E+018,Mon Mar 09 13:11:52 +0000 2020,panic buying,
1.23700321949621E+018,Mon Mar 09 13:12:04 +0000 2020,calling out or correction,calling out or correction
1.2370032852714E+018,Mon Mar 09 13:12:20 +0000 2020,politics,
1.23700336110019E+018,Mon Mar 09 13:12:38 +0000 2020,calling out or correction,calling out or correction
1.23700388382794E+018,Mon Mar 09 13:14:42 +0000 2020,true prevention,
1.23700395914075E+018,Mon Mar 09 13:15:00 +0000 2020,conspiracy,conspiracy
1.23700410175956E+018,Mon Mar 09 13:15:34 +0000 2020,news,
1.23700423945452E+018,Mon Mar 09 13:16:07 +0000 2020,panic buying,
1.23700443886431E+018,Mon Mar 09 13:16:55 +0000 2020,sarcasm or satire,sarcasm or satire
1.23700449780267E+018,Mon Mar 09 13:17:09 +0000 2020,true public health response,
1.23700468323689E+018,Mon Mar 09 13:17:53 +0000 2020,sarcasm or satire,calling out or correction
1.23700468642879E+018,Mon Mar 09 13:17:54 +0000 2020,false fact or prevention,
1.23700481829788E+018,Mon Mar 09 13:18:25 +0000 2020,politics,politics
1.23700501787109E+018,Mon Mar 09 13:19:13 +0000 2020,sarcasm or satire,sarcasm or satire
1.23700543204603E+018,Mon Mar 09 13:20:52 +0000 2020,politics,politics
1.2370056050065E+018,Mon Mar 09 13:21:33 +0000 2020,politics,
1.23700570575387E+018,Mon Mar 09 13:21:57 +0000 2020,false fact or prevention,false fact or prevention
1.2370057502931E+018,Mon Mar 09 13:22:07 +0000 2020,ambiguous or hard to classify,
1.23700590976883E+018,Mon Mar 09 13:22:46 +0000 2020,news,
1.23700623984811E+018,Mon Mar 09 13:24:04 +0000 2020,sarcasm or satire,
1.23700639465991E+018,Mon Mar 09 13:24:41 +0000 2020,true prevention,true prevention
1.23700648735406E+018,Mon Mar 09 13:25:03 +0000 2020,conspiracy,conspiracy
1.23700664969856E+018,Mon Mar 09 13:25:42 +0000 2020,irrelevant,
1.23700665901851E+018,Mon Mar 09 13:25:44 +0000 2020,ambiguous or hard to classify,ambiguous or hard to classify
1.23700668811859E+018,Mon Mar 09 13:25:51 +0000 2020,irrelevant,
1.23700685416685E+018,Mon Mar 09 13:26:31 +0000 2020,conspiracy,conspiracy
1.23700704566619E+018,Mon Mar 09 13:27:16 +0000 2020,sarcasm or satire,false fact or prevention
1.23700735390129E+018,Mon Mar 09 13:28:30 +0000 2020,conspiracy,conspiracy
1.23700752429499E+018,Mon Mar 09 13:29:10 +0000 2020,true prevention,true prevention
1.23700761374691E+018,Mon Mar 09 13:29:32 +0000 2020,true public health response,
1.23700767654823E+018,Mon Mar 09 13:29:47 +0000 2020,true prevention,true prevention
1.23700795257537E+018,Mon Mar 09 13:30:53 +0000 2020,irrelevant,
1.23700824644497E+018,Mon Mar 09 13:32:03 +0000 2020,conspiracy,conspiracy
1.23700844880772E+018,Mon Mar 09 13:32:51 +0000 2020,calling out or correction,calling out or correction
1.23700857346239E+018,Mon Mar 09 13:33:21 +0000 2020,conspiracy,conspiracy
1.23700865990286E+018,Mon Mar 09 13:33:41 +0000 2020,true public health response,
1.23700874679626E+018,Mon Mar 09 13:34:02 +0000 2020,panic buying,
1.23700918861159E+018,Mon Mar 09 13:35:47 +0000 2020,true prevention,
1.23700923338584E+018,Mon Mar 09 13:35:58 +0000 2020,irrelevant,sarcasm or satire
1.23700936391669E+018,Mon Mar 09 13:36:29 +0000 2020,panic buying,
1.23700945721887E+018,Mon Mar 09 13:36:51 +0000 2020,calling out or correction,calling out or correction
1.23700960172124E+018,Mon Mar 09 13:37:26 +0000 2020,irrelevant,irrelevant
1.23700961830133E+018,Mon Mar 09 13:37:30 +0000 2020,sarcasm or satire,sarcasm or satire
1.2370101927112E+018,Mon Mar 09 13:39:47 +0000 2020,politics,ambiguous or hard to classify
1.23701035211998E+018,Mon Mar 09 13:40:25 +0000 2020,true public health response,true public health response
1.237010829717E+018,Mon Mar 09 13:42:19 +0000 2020,conspiracy,politics
1.23701109396227E+018,Mon Mar 09 13:43:22 +0000 2020,panic buying,
1.23701140581301E+018,Mon Mar 09 13:44:36 +0000 2020,calling out or correction,calling out or correction
1.23701211469218E+018,Mon Mar 09 13:47:25 +0000 2020,calling out or correction,calling out or correction
1.23701244667564E+018,Mon Mar 09 13:48:44 +0000 2020,panic buying,
1.2370127642137E+018,Mon Mar 09 13:50:00 +0000 2020,calling out or correction,calling out or correction
1.23701277077776E+018,Mon Mar 09 13:50:01 +0000 2020,sarcasm or satire,false fact or prevention
1.23701405488909E+018,Mon Mar 09 13:55:07 +0000 2020,false fact or prevention,sarcasm or satire
1.23701493688002E+018,Mon Mar 09 13:58:38 +0000 2020,sarcasm or satire,sarcasm or satire
1.23701494176631E+018,Mon Mar 09 13:58:39 +0000 2020,conspiracy,conspiracy
1.23701501579176E+018,Mon Mar 09 13:58:57 +0000 2020,false fact or prevention,false fact or prevention
1.23701528152602E+018,Mon Mar 09 14:00:00 +0000 2020,calling out or correction,calling out or correction
1.23701644659467E+018,Mon Mar 09 14:04:38 +0000 2020,calling out or correction,calling out or correction
1.23701708514809E+018,Mon Mar 09 14:07:10 +0000 2020,calling out or correction,
1.23701757713159E+018,Mon Mar 09 14:09:07 +0000 2020,false fact or prevention,fake treatment
1.23701769495796E+018,Mon Mar 09 14:09:35 +0000 2020,sarcasm or satire,sarcasm or satire
1.23701987222111E+018,Mon Mar 09 14:18:14 +0000 2020,calling out or correction,calling out or correction
1.23702014835714E+018,Mon Mar 09 14:19:20 +0000 2020,conspiracy,conspiracy
1.23702052219567E+018,Mon Mar 09 14:20:49 +0000 2020,sarcasm or satire,sarcasm or satire
1.23702057007786E+018,Mon Mar 09 14:21:01 +0000 2020,false fact or prevention,false fact or prevention
1.23702140455981E+018,Mon Mar 09 14:24:20 +0000 2020,sarcasm or satire,sarcasm or satire
1.23702150156141E+018,Mon Mar 09 14:24:43 +0000 2020,calling out or correction,calling out or correction
1.23702186795892E+018,Mon Mar 09 14:26:10 +0000 2020,calling out or correction,calling out or correction
1.23702253026906E+018,Mon Mar 09 14:28:48 +0000 2020,true public health response,
1.23702279901909E+018,Mon Mar 09 14:29:52 +0000 2020,ambiguous or hard to classify,
1.23702316206544E+018,Mon Mar 09 14:31:19 +0000 2020,calling out or correction,
1.23702373750702E+018,Mon Mar 09 14:33:36 +0000 2020,calling out or correction,
1.23702386812597E+018,Mon Mar 09 14:34:07 +0000 2020,sarcasm or satire,
1.23702439629795E+018,Mon Mar 09 14:36:13 +0000 2020,fake cure,
1.23702543008496E+018,Mon Mar 09 14:40:20 +0000 2020,irrelevant,
1.23702546593373E+018,Mon Mar 09 14:40:28 +0000 2020,sarcasm or satire,sarcasm or satire
1.23702612151178E+018,Mon Mar 09 14:43:04 +0000 2020,calling out or correction,
1.23702625156036E+018,Mon Mar 09 14:43:35 +0000 2020,conspiracy,conspiracy
1.23702825262932E+018,Mon Mar 09 14:51:32 +0000 2020,conspiracy,conspiracy
1.23702838079465E+018,Mon Mar 09 14:52:03 +0000 2020,conspiracy,
1.2370297309411E+018,Mon Mar 09 14:57:25 +0000 2020,conspiracy,ambiguous or hard to classify
1.23703132701214E+018,Mon Mar 09 15:03:45 +0000 2020,conspiracy,conspiracy
1.23703148982239E+018,Mon Mar 09 15:04:24 +0000 2020,conspiracy,conspiracy
1.23703265818352E+018,Mon Mar 09 15:09:03 +0000 2020,conspiracy,conspiracy
1.2370348739379E+018,Mon Mar 09 15:17:51 +0000 2020,calling out or correction,
1.23705368831462E+018,Mon Mar 09 16:32:37 +0000 2020,calling out or correction,calling out or correction
1.23707072082972E+018,Mon Mar 09 17:40:18 +0000 2020,calling out or correction,calling out or correction
1.23707502176961E+018,Mon Mar 09 17:57:23 +0000 2020,panic buying,sarcasm or satire
1.23707723988118E+018,Mon Mar 09 18:06:12 +0000 2020,conspiracy,conspiracy
1.23708473545061E+018,Mon Mar 09 18:35:59 +0000 2020,news,
1.23708573664775E+018,Mon Mar 09 18:39:58 +0000 2020,irrelevant,
1.23708737843255E+018,Mon Mar 09 18:46:29 +0000 2020,politics,
1.23708818265258E+018,Mon Mar 09 18:49:41 +0000 2020,panic buying,
1.23708831778028E+018,Mon Mar 09 18:50:13 +0000 2020,politics,
1.23708908776227E+018,Mon Mar 09 18:53:17 +0000 2020,irrelevant,
1.23708964051712E+018,Mon Mar 09 18:55:28 +0000 2020,true public health response,
1.23709007146913E+018,Mon Mar 09 18:57:11 +0000 2020,calling out or correction,calling out or correction
1.23709088479934E+018,Mon Mar 09 19:00:25 +0000 2020,calling out or correction,
1.23711192434256E+018,Mon Mar 09 20:24:01 +0000 2020,calling out or correction,calling out or correction
1.23711948904666E+018,Mon Mar 09 20:54:05 +0000 2020,politics,politics
1.23712654985132E+018,Mon Mar 09 21:22:08 +0000 2020,calling out or correction,
1.23713492091455E+018,Mon Mar 09 21:55:24 +0000 2020,sarcasm or satire,sarcasm or satire
1.23713742836996E+018,Mon Mar 09 22:05:22 +0000 2020,irrelevant,irrelevant
1.23713962005749E+018,Mon Mar 09 22:14:05 +0000 2020,sarcasm or satire,
1.23715626338694E+018,Mon Mar 09 23:20:13 +0000 2020,calling out or correction,calling out or correction
1.2371578479742E+018,Mon Mar 09 23:26:30 +0000 2020,calling out or correction,calling out or correction
1.23716225354109E+018,Mon Mar 09 23:44:01 +0000 2020,conspiracy,conspiracy
1.23718268885712E+018,Tue Mar 10 01:05:13 +0000 2020,calling out or correction,calling out or correction
1.23718393567685E+018,Tue Mar 10 01:10:10 +0000 2020,conspiracy,conspiracy
1.2371844330836E+018,Tue Mar 10 01:12:09 +0000 2020,calling out or correction,
1.23720385716542E+018,Tue Mar 10 02:29:20 +0000 2020,conspiracy,conspiracy
1.23720542995818E+018,Tue Mar 10 02:35:35 +0000 2020,conspiracy,conspiracy
1.23720697188918E+018,Tue Mar 10 02:41:42 +0000 2020,conspiracy,conspiracy
1.23720983498819E+018,Tue Mar 10 02:53:05 +0000 2020,conspiracy,conspiracy
1.23721113321328E+018,Tue Mar 10 02:58:15 +0000 2020,irrelevant,
1.23721146588874E+018,Tue Mar 10 02:59:34 +0000 2020,conspiracy,conspiracy
1.23724519501754E+018,Tue Mar 10 05:13:36 +0000 2020,conspiracy,ambiguous or hard to classify
1.23724607787238E+018,Tue Mar 10 05:17:06 +0000 2020,calling out or correction,calling out or correction
1.23728047294793E+018,Tue Mar 10 07:33:46 +0000 2020,calling out or correction,calling out or correction
1.23728938995E+018,Tue Mar 10 08:09:12 +0000 2020,conspiracy,conspiracy
1.23730229846596E+018,Tue Mar 10 09:00:30 +0000 2020,conspiracy,
1.23732544773152E+018,Tue Mar 10 10:32:29 +0000 2020,politics,politics
1.23733170423622E+018,Tue Mar 10 10:57:21 +0000 2020,calling out or correction,
1.23733800235697E+018,Tue Mar 10 11:22:23 +0000 2020,conspiracy,politics
1.23734635790968E+018,Tue Mar 10 11:55:35 +0000 2020,false fact or prevention,false fact or prevention
1.23735556867277E+018,Tue Mar 10 12:32:11 +0000 2020,sarcasm or satire,sarcasm or satire
1.23736029631608E+018,Tue Mar 10 12:50:58 +0000 2020,calling out or correction,
1.23736478535785E+018,Tue Mar 10 13:08:48 +0000 2020,false fact or prevention,false fact or prevention
1.23737312792927E+018,Tue Mar 10 13:41:57 +0000 2020,sarcasm or satire,calling out or correction
1.23737758947324E+018,Tue Mar 10 13:59:41 +0000 2020,false fact or prevention,
1.23738899355525E+018,Tue Mar 10 14:45:00 +0000 2020,calling out or correction,calling out or correction
1.23740190508677E+018,Tue Mar 10 15:36:18 +0000 2020,sarcasm or satire,
1.2374109513155E+018,Tue Mar 10 16:12:15 +0000 2020,sarcasm or satire,sarcasm or satire
1.23741117891517E+018,Tue Mar 10 16:13:09 +0000 2020,sarcasm or satire,sarcasm or satire
1.2374169560529E+018,Tue Mar 10 16:36:07 +0000 2020,calling out or correction,calling out or correction
1.23741919287955E+018,Tue Mar 10 16:45:00 +0000 2020,calling out or correction,
1.23742012993743E+018,Tue Mar 10 16:48:43 +0000 2020,calling out or correction,calling out or correction
1.2374208876301E+018,Tue Mar 10 16:51:44 +0000 2020,calling out or correction,
1.23743590898463E+018,Tue Mar 10 17:51:25 +0000 2020,sarcasm or satire,sarcasm or satire
1.23746729952467E+018,Tue Mar 10 19:56:09 +0000 2020,conspiracy,conspiracy
1.23746874085109E+018,Tue Mar 10 20:01:53 +0000 2020,conspiracy,conspiracy
1.23747426329407E+018,Tue Mar 10 20:23:50 +0000 2020,calling out or correction,
1.23748216295547E+018,Tue Mar 10 20:55:13 +0000 2020,conspiracy,conspiracy
1.23749218053465E+018,Tue Mar 10 21:35:01 +0000 2020,false fact or prevention,irrelevant
1.23751412148392E+018,Tue Mar 10 23:02:13 +0000 2020,conspiracy,conspiracy
1.23752399804229E+018,Tue Mar 10 23:41:27 +0000 2020,calling out or correction,calling out or correction
1.23752709967136E+018,Tue Mar 10 23:53:47 +0000 2020,calling out or correction,calling out or correction
1.23753063789811E+018,Wed Mar 11 00:07:50 +0000 2020,calling out or correction,
1.23754038735648E+018,Wed Mar 11 00:46:35 +0000 2020,calling out or correction,
1.23754623323472E+018,Wed Mar 11 01:09:49 +0000 2020,sarcasm or satire,false fact or prevention
1.23762424096417E+018,Wed Mar 11 06:19:47 +0000 2020,calling out or correction,calling out or correction
1.23764893091921E+018,Wed Mar 11 07:57:54 +0000 2020,calling out or correction,calling out or correction
1.23765282575846E+018,Wed Mar 11 08:13:22 +0000 2020,sarcasm or satire,false fact or prevention
1.23768911391197E+018,Wed Mar 11 10:37:34 +0000 2020,calling out or correction,
1.23769922047754E+018,Wed Mar 11 11:17:44 +0000 2020,calling out or correction,calling out or correction
1.23769962697684E+018,Wed Mar 11 11:19:21 +0000 2020,calling out or correction,calling out or correction
1.23770396310704E+018,Wed Mar 11 11:36:34 +0000 2020,conspiracy,
1.23773354199299E+018,Wed Mar 11 13:34:07 +0000 2020,news,
1.23773674759909E+018,Wed Mar 11 13:46:51 +0000 2020,conspiracy,conspiracy
1.23774238486112E+018,Wed Mar 11 14:09:15 +0000 2020,calling out or correction,
1.23777426433132E+018,Wed Mar 11 16:15:56 +0000 2020,true public health response,
1.23778282233886E+018,Wed Mar 11 16:49:56 +0000 2020,true public health response,
1.23778288693939E+018,Wed Mar 11 16:50:11 +0000 2020,politics,
